"ping.wow","The message shown before the ping response","wow, you saw this?","wow, hast du das gesehen?"
"ping.response","ping.response
First param: the response time in milliseconds. ms=milliseconds. The second param will be either ""Normal"" or ""Slow"" depending on the speed of the response","**Response time**: []*ms* - __[]__","**Reaktionszeit**: []*ms* - __[]__"
"ping.slow","Shown to describe when ping response is slow. 2nd param of response time","Slow","Langsam"
"ping.normal","Shown to describe when ping response is normal. 2nd param of response time","Normal","Normal"
"ping","ping command","ping","ping"
"cmd.help","replaced with the command name | Help inside the command help display embed","[] | Help","[] | Hilfe"
"cmd.nodesc","","no description is available for this command","für diesen Befehl steht keine Beschreibung zur Verfügung"
"cmd.cooldown","shows the cooldown amount in help, for commands with cooldowns","__cooldown__: [] seconds","__Abklingzeit__: [] Sekunden"
"cmd.subcommands","the bold Subcommands header above the command arguments","Subcommands","Unterbefehle"
"cmd.flags","the bold heading above command flags","Flags","Befehlsflags"
"cmd.examples","The cmd help example heading","Examples","Beispiele"
"cmd.example","The cmd help example heading (only 1 example)","Example","Beispiel"
"cmd.aliases","The cmd help alias heading","Command aliases: **[]**","Befehlsaliase: ** [] **"
"cooldown.fail","When someone's on cooldown. First param: command name. Second param: user mention. Third param: integer","**[]** > [], you're still on cooldown for [] seconds!","** [] ** > [], du bist immer noch auf Abklingzeit [] Sekunden!"
"cmd.allhelp","","See help for all commands by using /help","Seh dir Hilfe für alle Befehle mit /help an"
"adminrole","adminrole command","adminrole","adminrolle"
"announce","announce command","announce","ankündigen"
"clear","clear command","clear","löschen"
"defaultrole","defaultrole command","defaultrole","standardrolle"
"disablecommand","disablecommand command","disablecommand","deaktivierebefehl"
"disablemodule","disablemodule command","disablemodule","deaktivieremodul"
"joinmessage","joinmessage command","joinmessage","eintrittsankündigung"
"kick","kick command","kick","kick"
"leavemessage","leavemessage command","leavemessage","nachrichtlassen"
"manage","manage command","manage","verwalten"
"mute","mute command","mute","mute"
"prefix","prefix command","prefix","Präfix"
"unmute","unmute command","unmute","unmute"
"2018","2018 (information) command","2018","2018"
"invite","invite command","invite","einladen"
"message","message command","message","nachricht"
"patreon","patreon command","patreon","patreon"
"status","status command","status","status"
"suggest","suggestions command","suggest","vorschlag"
"support","support command","support","support"
"website","website command","website","webseite"
"8ball","8ball command","8ball","8ball"
"coinflip","coinflip command","coinflip","münzwurf"
"fml","fml command","fml","fml"
"fortune","fortune (unix) command","fortune","schicksal"
"gif","gif (random) command","gif","gif"
"nick","nick command","nick","nick"
"nickme","nickme command","nickme","nickme"
"random","random command","random","zufall"
"roll","roll command","roll","rollen"
"translate","translate command","translate","übersetze"
"urban","urban dictionary command","urban","urban"
"accept","accept command","accept","annehmen"
"bet","bet command","bet","wetten"
"blackjack","blackjack command","blackjack","blackjack"
"cancel","cancel command","cancel","abbrechen"
"connect4","connect4 command","connect4","connect4"
"decline","decline command","decline","ablehnen"
"gameinvite","gameinvite command","gameinvite","gameinvite"
"gamelist","gamelist command","gamelist","gamelist"
"join","game join command","join","beitreten"
"leavegame","leave game command","leavegame","leavegame"
"slots","slots command","slots","slots"
"start","start command","start","start"
"tictactoe","tictactoe command","tictactoe","tictactoe"
"trivia","trivia command","trivia","trivia"
"getid","get ids command","getid","getid"
"help","help command","help","help"
"online","online command","online","online"
"ping","ping command","ping","ping"
"roleinfo","roleinfo command","roleinfo","roleinfo"
"serverinfo","serverinfo command","serverinfo","serverinfo"
"ulog","user log command","ulog","ulog"
"whois","whois command","whois","whois"
"daily","daily gold command","daily","daily"
"divorce","divorce command","divorce","divorce"
"marry","marry command","marry","marry"
"profile","profile command","profile","profile"
"top","top (money) command","top","top"
"clearqueue","clear queue command","clearqueue","clearqueue"
"goto","goto command","goto","goto"
"musiclibrary","music library commands","musiclibrary","musiclibrary"
"pause","pause command","pause","pause"
"play","play command","play","play"
"playing","now playing command","playing","playing"
"playlist","playlist command","playlist","playlist"
"queue","queue command","queue","queue"
"removefrom","removefrom command","removefrom","removefrom"
"repeat","repeat command","repeat","repeat"
"resume","resume command","resume","resume"
"save","save command","save","save"
"skip","skip command","skip","skip"
"songurl","songurl command","songurl","songurl"
"stop","stop command","stop","stop"
"volume","volume command","volume","volume"
"adminrole.description","","manage the Ardent admin role in your server","manage the Ardent admin role in your server"
"announce.description","","schedule announcements on this server","schedule announcements on this server"
"clear.description","","clear embeds and messages from a channel","clear embeds and messages from a channel"
"defaultrole.description","","set a role that new members will receive when they join","set a role that new members will receive when they join"
"disablecommand.description","","prevent a command from being used in this server\nCAVEATS: admin commands, along with /help and /suggest, __cannot__ be disabled","prevent a command from being used in this server\nCAVEATS: admin commands, along with /help and /suggest, __cannot__ be disabled"
"disablemodule.description","","prevent a module from being used in this server\nCAVEATS: the admin and info modules __cannot__ be disabled","prevent a module from being used in this server\nCAVEATS: the admin and info modules __cannot__ be disabled"
"joinmessage.description","","set a message shown to users when they join","set a message shown to users when they join"
"kick.description","","kick someone out of the server","kick someone out of the server"
"leavemessage.description","","set a message shown when users leave","set a message shown when users leave"
"log","log command","log","log"
"log.description","","log important events to a specified channel","wichtige Ereignisse auf einen bestimmten Kanal loggen"
"manage.description","","manage your server using the Ardent dashboard","verwalte deinen Server mit dem Ardent dashboard"
"message.description","","message users - for bot developers only :)","nachricht an Benutzer - nur für Botentwickler :)"
"mute.description","","mute users for a specified period of time","Benutzer für eine bestimmte Zeit stummschalten"
"prefix.description","","see, add or remove a prefix","einen Präfix ansehen, hinzufügen oder entfernen"
"unmute.description","","unmute users in your server","Stummschaltung der Benutzer auf deinem Server aufheben"
"2018.description","","learn about Ardent","erfahre mehr über Ardent"
"invite.description","","invite Ardent to your server!","lad Ardent auf deinen Server ein!"
"patreon.description","","help support our monthly hosting costs <3","unterstützen Sie uns bei unseren monatlichen Hostingkosten <3"
"status.description","","see realtime statistics about the bot","see realtime statistics about the bot"
