"ping.wow","The message shown before the ping response","wow, you saw this?","wow, vous avez vu ça ?"
"ping.response","ping.response
First param: the response time in milliseconds. ms=milliseconds. The second param will be either ""Normal"" or ""Slow"" depending on the speed of the response","**Response time**: []*ms* - __[]__","**Temps de réponse**: []*ms* - __[]__"
"ping.slow","Shown to describe when ping response is slow. 2nd param of response time","Slow","Lent"
"ping.normal","Shown to describe when ping response is normal. 2nd param of response time","Normal","Normal"
"ping","ping command","ping","ping"
"cmd.help","replaced with the command name | Help inside the command help display embed","[] | Help","[] |Aide"
"cmd.nodesc","","no description is available for this command","pas de description disponible pour cette commande"
"cmd.cooldown","shows the cooldown amount in help, for commands with cooldowns","__cooldown__: [] seconds","__cooldown__: [] secondes"
"cmd.subcommands","the bold Subcommands header above the command arguments","Subcommands","Sous-commandes"
"cmd.flags","the bold heading above command flags","Flags","Flags"
"cmd.examples","The cmd help example heading","Examples","Exemples"
"cmd.example","The cmd help example heading (only 1 example)","Example","Exemple"
"cmd.aliases","The cmd help alias heading","Command aliases: **[]**","Alias de commande: **[]**"
"cooldown.fail","When someone's on cooldown. First param: command name. Second param: user mention. Third param: integer","**[]** > [], you're still on cooldown for [] seconds!","**[]** > [], vous avez toujours un cooldown de [] secondes!"
"cmd.allhelp","","See help for all commands by using /help","Voir toutes les commandes disponible en utilisant /help"
"adminrole","adminrole command","adminrole","roleadmin"
"announce","announce command","announce","annonce"
"clear","clear command","clear","effacer"
"defaultrole","defaultrole command","defaultrole","roledefaut"
"disablecommand","disablecommand command","disablecommand","desactivercommande"
"disablemodule","disablemodule command","disablemodule","desactivermodule"
"joinmessage","joinmessage command","joinmessage","messagearrivee"
"kick","kick command","kick","kick"
"leavemessage","leavemessage command","leavemessage","messagedepart"
"manage","manage command","manage","gerer"
"mute","mute command","mute","mute"
"prefix","prefix command","prefix","prefix"
"unmute","unmute command","unmute","demute"
"2018","2018 (information) command","2018","2018"
"invite","invite command","invite","invite"
"message","message command","message","message"
"patreon","patreon command","patreon","patreon"
"status","status command","status","statut"
"suggest","suggestions command","suggest","suggerer"
"support","support command","support","support"
"website","website command","website","siteweb"
"8ball","8ball command","8ball","8ball"
"coinflip","coinflip command","coinflip","pileouface"
"fml","fml command","fml","fml"
"fortune","fortune (unix) command","fortune","fortune"
"gif","gif (random) command","gif","gif"
"nick","nick command","nick","nick"
"nickme","nickme command","nickme","nickmoi"
"random","random command","random","alea"
"roll","roll command","roll","lancer"
"translate","translate command","translate","traduire"
"urban","urban dictionary command","urban","urban"
"accept","accept command","accept","accepter"
"bet","bet command","bet","pari"
"blackjack","blackjack command","blackjack","blackjack"
"cancel","cancel command","cancel","annuler"
"connect4","connect4 command","connect4","puissance4"
"decline","decline command","decline","refuser"
"gameinvite","gameinvite command","gameinvite","invitejeu"
"gamelist","gamelist command","gamelist","listejeux"
"join","game join command","join","rejoindre"
"leavegame","leave game command","leavegame","quitterjeu"
"slots","slots command","slots","machineasous"
"start","start command","start","commencer"
"tictactoe","tictactoe command","tictactoe","tictactoe"
"trivia","trivia command","trivia","trivia"
"getid","get ids command","getid","obtid"
"help","help command","help","aide"
"online","online command","online","enligne"
"ping","ping command","ping","ping"
"roleinfo","roleinfo command","roleinfo","roleinfo"
"serverinfo","serverinfo command","serverinfo","serveurinfo"
"ulog","user log command","ulog","ulog"
"whois","whois command","whois","quiest"
"daily","daily gold command","daily","paie"
"divorce","divorce command","divorce","divorce"
"marry","marry command","marry","marriage"
"profile","profile command","profile","profil"
"top","top (money) command","top","top"
"clearqueue","clear queue command","clearqueue","effacerliste"
"goto","goto command","goto","allera"
"musiclibrary","music library commands","musiclibrary","biblimusique"
"pause","pause command","pause","pause"
"play","play command","play","jouer"
"playing","now playing command","playing","jouee"
"playlist","playlist command","playlist","playlist"
"queue","queue command","queue","liste"
"removefrom","removefrom command","removefrom","enleverde"
"repeat","repeat command","repeat","repeter"
"resume","resume command","resume","reprendre"
"save","save command","save","sauvegarder"
"skip","skip command","skip","passer"
"songurl","songurl command","songurl","musiqueurl"
"stop","stop command","stop","stop"
"volume","volume command","volume","volume"
"adminrole.description","","manage the Ardent admin role in your server","gérer le rôle qu'Ardent reconnaîtra comme admin sur votre serveur"
"announce.description","","schedule announcements on this server","planifie des annonces sur le serveur"
"clear.description","","clear embeds and messages from a channel","efface les embeds et les messages d'un salon"
"defaultrole.description","","set a role that new members will receive when they join","met un rôle aux nouveaux membres qui rejoignent le serveur"
"disablecommand.description","","prevent a command from being used in this server\nCAVEATS: admin commands, along with /help and /suggest, __cannot__ be disabled","empêche une commande d'être utilisé sur le serveur\nATTENTION: les commandes admin, ainsi que le /help et /suggest, __ne peuvent pas__ être enlevées"
"disablemodule.description","","prevent a module from being used in this server\nCAVEATS: the admin and info modules __cannot__ be disabled","empêche un module d'être utilisé sur le serveur\nATTENTION: les modules admin et info __ne peuvent pas__ être enlevées"
"joinmessage.description","","set a message shown to users when they join","définit un message montré aux utilisateurs quand ils rejoignent"
"kick.description","","kick someone out of the server","expulse quelqu'un du serveur"
"leavemessage.description","","set a message shown when users leave","définit un message montré aux utilisateurs quand ils partent"
"log","log command","log","log"
"log.description","","log important events to a specified channel","recueillir les événements importants à un salon spécifique"
